Checkpoint,Modelo,Balanceo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Best_Params,GridSearch_Best_AUC,N_Combinaciones,Tiempo_seg,Descripcion,Status
CP1,Logistic Regression (L1-Lasso),SMOTE,0.754019801980198,0.03900706628892494,0.5184090909090908,0.052981362698485114,0.723076923076923,0.10146850737133015,0.6015463982734583,0.06183182918317113,0.826982674982675,0.043749379443699825,{'clf__C': 1},0.826982674982675,6,0.4,Regresion logistica con penalizacion L1 (Lasso). Selecciona automaticamente variables relevantes.,success
CP1,Logistic Regression (L2-Ridge),SMOTE,0.752039603960396,0.04616850262085124,0.5159285159285159,0.0628495970666584,0.7153846153846153,0.11305337274383898,0.5969380713539882,0.07371401668835172,0.8266694386694386,0.043475632654542865,{'clf__C': 100},0.8266694386694386,6,0.1,Regresion logistica con penalizacion L2 (Ridge). Encoge coeficientes sin eliminarlos.,success
CP1,Decision Tree,SMOTE,0.7718415841584159,0.04283794006381367,0.5526800629267422,0.07364301403665716,0.7,0.051024996774698454,0.6151342422726604,0.0538775557786589,0.8076687456687457,0.052611297537907456,"{'clf__ccp_alpha': 0.005, 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.8076687456687457,180,1.3,Arbol de decision con poda. Muy interpretable.,success
CP1,Random Forest,SMOTE,0.748,0.048010324674648476,0.5190930756337733,0.08088740664025393,0.6692307692307693,0.057563959796522166,0.5809645940731342,0.05634936528082734,0.7992862092862092,0.05841684895900797,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.7992862092862092,72,29.5,Bosque aleatorio. Robusto y eficiente.,success
CP1,Gradient Boosting,SMOTE,0.7678019801980198,0.04167977691337457,0.5478450072962268,0.07792701821898075,0.7000000000000001,0.0565266863719195,0.6109833565125514,0.05068011146828323,0.8157463617463618,0.048533000094657955,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100, 'clf__subsample': 0.7}",0.8157463617463618,162,75.6,Gradient Boosting. Generalmente el mas preciso.,success
