Checkpoint,Modelo,Balanceo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Best_Params,GridSearch_Best_AUC,N_Combinaciones,Tiempo_seg,Descripcion,Status
CP2,Logistic Regression (L1-Lasso),SMOTEENN,0.9503762376237624,0.016640074200704753,0.8681992337164752,0.03697224261368401,0.9538461538461538,0.03768445758127968,0.9084979171771626,0.030721822500570803,0.9919778239778239,0.0028773789349035533,{'clf__C': 10},0.9919778239778239,6,0.1,Regresion logistica con penalizacion L1 (Lasso). Selecciona automaticamente variables relevantes.,success
CP2,Logistic Regression (L2-Ridge),SMOTEENN,0.9483960396039602,0.018202145644621998,0.8670498084291187,0.038110142127570565,0.9461538461538461,0.039223227027636816,0.9044719431511885,0.03368386776343967,0.9910519750519751,0.0026502376131765366,{'clf__C': 100},0.9910519750519751,6,0.1,Regresion logistica con penalizacion L2 (Ridge). Encoge coeficientes sin eliminarlos.,success
CP2,Decision Tree,SMOTEENN,0.8532475247524752,0.020756064990711465,0.6745300751879698,0.06681488742770958,0.8692307692307694,0.0670599837467796,0.7543643296261925,0.020183828812810074,0.9077449757449758,0.010577093748959994,"{'clf__ccp_alpha': 0.0, 'clf__criterion': 'gini', 'clf__max_depth': 7, 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 5}",0.9077449757449758,180,2.2,Arbol de decision con poda. Muy interpretable.,success
CP2,Random Forest,SMOTEENN,0.9066930693069308,0.018699780637813995,0.7846580086580086,0.058871139453151054,0.8923076923076924,0.06153846153846154,0.8319008971870062,0.030562303374744717,0.9724102564102564,0.00717509022867393,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}",0.9724102564102564,72,29.7,Bosque aleatorio. Robusto y eficiente.,success
CP2,Gradient Boosting,SMOTEENN,0.9047326732673266,0.02322734293579178,0.7743538611925709,0.056556098553867354,0.9,0.05217176910096361,0.8303424313525589,0.037264323760987185,0.975086625086625,0.010513538157468118,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300, 'clf__subsample': 0.7}",0.975086625086625,162,83.3,Gradient Boosting. Generalmente el mas preciso.,success
