set,modelo,n_feat,balanceo,AUC,AUC_s,Recall,Rec_s,Prec,F1,F1_s,Acc,Umbral,CP
S05_smote,RF,5,smote,0.928,0.034,0.819,0.106,0.749,0.767,0.085,0.877,0.6,CP2
S05_acad_tendencia,RF,5,none,0.941,0.021,0.768,0.124,0.789,0.764,0.082,0.892,0.47,CP2
S10_eng_ambos,RF,8,none,0.921,0.043,0.798,0.107,0.748,0.763,0.061,0.877,0.38,CP2
S12_smote,RF,12,smote,0.933,0.031,0.813,0.122,0.74,0.762,0.085,0.88,0.52,CP2
S07_smote,RF,10,smote,0.94,0.031,0.776,0.174,0.783,0.759,0.091,0.89,0.54,CP2
S06_eng_p1,RF,5,none,0.915,0.048,0.78,0.145,0.742,0.753,0.081,0.879,0.42,CP2
S07_smoteenn,RF,10,smoteenn,0.934,0.03,0.805,0.091,0.728,0.753,0.083,0.877,0.59,CP2
S01_dos_parciales,RF,3,none,0.925,0.037,0.79,0.158,0.74,0.749,0.072,0.869,0.54,CP2
S11_smoteenn,RF,8,smoteenn,0.904,0.071,0.926,0.077,0.626,0.745,0.079,0.846,0.54,CP2
S11_tendencia_deriv,RF,8,none,0.909,0.052,0.793,0.098,0.712,0.742,0.078,0.867,0.53,CP2
S04_tendencia,RF,3,none,0.904,0.06,0.75,0.176,0.751,0.73,0.086,0.873,0.62,CP2
S11_smote,RF,8,smote,0.902,0.059,0.789,0.137,0.681,0.724,0.082,0.857,0.54,CP2
S03_academico,XGB,5,none,0.963,0.019,0.887,0.081,0.813,0.843,0.076,0.925,0.57,CP2
S12_completo,XGB,12,none,0.95,0.027,0.861,0.075,0.776,0.814,0.079,0.91,0.56,CP2
S07_base_est,XGB,10,none,0.952,0.024,0.829,0.088,0.799,0.809,0.055,0.908,0.38,CP2
S05_acad_tendencia,XGB,5,none,0.948,0.01,0.84,0.06,0.761,0.797,0.061,0.9,0.45,CP2
S12_smote,XGB,12,smote,0.949,0.024,0.827,0.065,0.76,0.791,0.079,0.901,0.52,CP2
S01_dos_parciales,XGB,3,none,0.935,0.035,0.812,0.117,0.766,0.782,0.083,0.89,0.36,CP2
S02_ams,XGB,4,none,0.947,0.033,0.827,0.082,0.763,0.782,0.076,0.889,0.61,CP2
S09_eng_p2_det,XGB,8,none,0.919,0.045,0.815,0.137,0.758,0.778,0.072,0.888,0.48,CP2
S07_smote,XGB,10,smote,0.936,0.039,0.796,0.161,0.772,0.771,0.083,0.892,0.54,CP2
S06_eng_p1,XGB,5,none,0.911,0.051,0.705,0.11,0.846,0.764,0.097,0.894,0.72,CP2
S08_eng_evol,XGB,4,none,0.924,0.039,0.796,0.102,0.745,0.761,0.078,0.875,0.34,CP2
S05_smote,XGB,5,smote,0.936,0.035,0.846,0.137,0.727,0.76,0.081,0.872,0.75,CP2
S12_smoteenn,XGB,12,smoteenn,0.94,0.03,0.891,0.047,0.669,0.76,0.091,0.87,0.67,CP2
S05_smoteenn,XGB,5,smoteenn,0.933,0.035,0.878,0.128,0.679,0.748,0.109,0.862,0.62,CP2
S11_smote,XGB,8,smote,0.913,0.041,0.779,0.128,0.749,0.747,0.057,0.872,0.78,CP2
S11_tendencia_deriv,XGB,8,none,0.924,0.053,0.882,0.049,0.65,0.747,0.073,0.856,0.43,CP2
S04_tendencia,XGB,3,none,0.913,0.054,0.787,0.173,0.734,0.746,0.079,0.874,0.57,CP2
S10_eng_ambos,XGB,8,none,0.923,0.029,0.787,0.107,0.729,0.743,0.057,0.867,0.56,CP2
S07_smoteenn,XGB,10,smoteenn,0.926,0.042,0.823,0.135,0.674,0.738,0.095,0.865,0.56,CP2
S11_smoteenn,XGB,8,smoteenn,0.907,0.068,0.904,0.06,0.59,0.708,0.099,0.822,0.6,CP2
