set,modelo,n_feat,balanceo,AUC,AUC_s,Recall,Rec_s,Prec,F1,F1_s,Acc,Umbral,CP
S07_smote,RF,5,smote,0.794,0.099,0.744,0.156,0.565,0.624,0.103,0.77,0.45,CP1
S08_smote,RF,6,smote,0.8,0.088,0.771,0.142,0.545,0.623,0.073,0.774,0.46,CP1
S07_smoteenn,RF,5,smoteenn,0.789,0.083,0.727,0.134,0.566,0.62,0.058,0.788,0.62,CP1
S07_eng_cobertura,XGB,5,none,0.829,0.066,0.788,0.086,0.568,0.658,0.038,0.799,0.59,CP1
S04_eng_total,XGB,3,none,0.831,0.07,0.731,0.073,0.6,0.657,0.071,0.805,0.6,CP1
S05_eng_log,XGB,3,none,0.831,0.07,0.731,0.073,0.6,0.657,0.071,0.805,0.6,CP1
S08_smoteenn,XGB,6,smoteenn,0.808,0.072,0.775,0.135,0.585,0.653,0.045,0.804,0.58,CP1
S11_completo,XGB,7,none,0.826,0.079,0.754,0.119,0.59,0.653,0.043,0.808,0.3,CP1
S06_eng_calidad,XGB,4,none,0.837,0.067,0.792,0.128,0.564,0.649,0.051,0.794,0.28,CP1
S09_eng_completo,XGB,7,none,0.819,0.088,0.723,0.134,0.599,0.645,0.057,0.81,0.32,CP1
S08_base_est,XGB,6,none,0.828,0.081,0.707,0.144,0.632,0.644,0.049,0.807,0.31,CP1
S11_smote,XGB,7,smote,0.821,0.075,0.766,0.123,0.553,0.64,0.074,0.788,0.74,CP1
S03_parcial_relativo,XGB,3,none,0.844,0.058,0.733,0.133,0.588,0.639,0.036,0.804,0.46,CP1
S01_solo_parcial,XGB,1,none,0.841,0.064,0.703,0.169,0.617,0.638,0.038,0.813,0.34,CP1
S07_smote,XGB,5,smote,0.803,0.101,0.739,0.174,0.556,0.629,0.093,0.791,0.46,CP1
S10_derivadas,XGB,6,none,0.83,0.066,0.734,0.136,0.57,0.629,0.034,0.796,0.53,CP1
S02_parcial_era,XGB,2,none,0.84,0.063,0.748,0.135,0.567,0.628,0.04,0.79,0.3,CP1
S07_smoteenn,XGB,5,smoteenn,0.814,0.072,0.78,0.15,0.547,0.626,0.045,0.78,0.75,CP1
S11_smoteenn,XGB,7,smoteenn,0.814,0.073,0.806,0.133,0.519,0.613,0.057,0.758,0.68,CP1
S08_smote,XGB,6,smote,0.773,0.116,0.741,0.131,0.5,0.585,0.089,0.736,0.52,CP1
