Checkpoint,Modelo,Balanceo,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,Best_Params,GridSearch_Best_AUC,N_Combinaciones,Tiempo_seg,Descripcion,Status
CP1,Logistic Regression (L1-Lasso),Ninguno,0.8015841584158416,0.006311832653667027,0.688578431372549,0.0480476183127597,0.4384615384615384,0.07536891516255931,0.5291414014332485,0.04119952676305089,0.8274081774081774,0.04478036680494723,{'clf__C': 1},0.8274081774081774,6,3.8,Regresion logistica con penalizacion L1 (Lasso). Selecciona automaticamente variables relevantes.,success
CP1,Logistic Regression (L2-Ridge),Ninguno,0.8035643564356436,0.007555954070629279,0.6924245852187029,0.05329370345536445,0.4461538461538462,0.06705998374677957,0.5369686618920879,0.03277665748018099,0.8258683298683298,0.04534496208339337,{'clf__C': 100},0.8258683298683298,6,0.2,Regresion logistica con penalizacion L2 (Ridge). Encoge coeficientes sin eliminarlos.,success
CP1,Decision Tree,Ninguno,0.7877623762376238,0.023430822244133315,0.7459259259259259,0.169944717873369,0.3384615384615385,0.17941390445677846,0.42415274185272756,0.1474220615865428,0.8146354816354817,0.03249981674902827,"{'clf__ccp_alpha': 0.005, 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_leaf': 10, 'clf__min_samples_split': 5}",0.8146354816354817,180,6.2,Arbol de decision con poda. Muy interpretable.,success
CP1,Random Forest,Ninguno,0.7896435643564357,0.01963809409620491,0.6623484848484849,0.09246261001943964,0.4,0.057563959796522166,0.4939681520875359,0.0452761732809454,0.8078586278586279,0.047549721471263344,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",0.8078586278586279,72,112.9,Bosque aleatorio. Robusto y eficiente.,success
CP1,Gradient Boosting,Ninguno,0.7838217821782179,0.026266981520610563,0.7222377622377623,0.12816745367191443,0.27692307692307694,0.07457969011409737,0.3936780452909485,0.09262823541123323,0.8111725571725572,0.03906224789847711,"{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100, 'clf__subsample': 0.7}",0.8111725571725572,162,153.2,Gradient Boosting. Generalmente el mas preciso.,success
